0000.000000, 0000.000000, 0000.000000, 0000.000000, 0001.000000
0050.000000, 0000.000000, 0050.000000, 0001.000000, 0001.000000
0050.000000, 0003.101262, 0046.898738, 0001.000000, 0002.000000
0050.000000, 0010.816275, 0039.183725, 0001.000000, 0003.000000
0050.000000, 0018.477103, 0031.522897, 0001.000000, 0004.000000
0050.000000, 0026.084126, 0023.915874, 0001.000000, 0005.000000
0050.000000, 0033.637723, 0016.362277, 0001.000000, 0006.000000
0050.000000, 0041.138269, 0008.861731, 0001.000000, 0007.000000
0050.000000, 0046.263613, 0003.736387, 0001.000000, 0008.000000
0050.000000, 0048.339409, 0001.660591, 0001.000000, 0009.000000
0050.000000, 0049.123106, 0000.876894, 0001.000000, 0010.000000
0050.000000, 0049.608377, 0000.391623, 0001.000000, 0011.000000
0050.000000, 0049.899561, 0000.100439, 0001.000000, 0012.000000
0050.000000, 0050.027820, -000.027820, 0001.000000, 0013.000000
0050.000000, 0050.004453, -000.004453, 0001.000000, 0014.000000
0050.000000, 0050.074343, -000.074343, 0001.000000, 0015.000000
0050.000000, 0050.125538, -000.125538, 0001.000000, 0016.000000
0050.000000, 0050.135636, -000.135636, 0001.000000, 0017.000000
0050.000000, 0050.137339, -000.137339, 0001.000000, 0018.000000
0050.000000, 0050.140831, -000.140831, 0001.000000, 0019.000000
0050.000000, 0050.142962, -000.142962, 0001.000000, 0020.000000
0050.000000, 0050.143277, -000.143277, 0001.000000, 0021.000000
0050.000000, 0050.143120, -000.143120, 0001.000000, 0022.000000
0050.000000, 0050.142846, -000.142846, 0001.000000, 0023.000000
0050.000000, 0050.142496, -000.142496, 0001.000000, 0024.000000
0050.000000, 0050.142031, -000.142031, 0001.000000, 0025.000000
0050.000000, 0050.141609, -000.141609, 0001.000000, 0026.000000
0050.000000, 0050.141150, -000.141150, 0001.000000, 0027.000000
0050.000000, 0050.140616, -000.140616, 0001.000000, 0028.000000
0050.000000, 0050.140203, -000.140203, 0001.000000, 0029.000000
0050.000000, 0050.139754, -000.139754, 0001.000000, 0030.000000
0050.000000, 0050.139230, -000.139230, 0001.000000, 0031.000000
0050.000000, 0050.138827, -000.138827, 0001.000000, 0032.000000
0050.000000, 0050.138388, -000.138388, 0001.000000, 0033.000000
